TM Market Name,Weekend Name,Tough Mudder Event Name,Event Year,Adjusted Start Date,Start Date/Time,End Date/Time,Tough Mudder Venue: Tough Mudder Venue Name,Tough Mudder Venue: Venue Address 1,Tough Mudder Venue: Venue Address 2,Tough Mudder Venue: Venue City,Tough Mudder Venue: Venue State,Tough Mudder Venue: Venue Postal Code,Tough Mudder Venue: Venue Country,TM5K,TMH,TMF,TRM,RTM,TMX
Miami,Miami 2018,Tough Mudder X Miami 2018,2018,4/8/18,4/8/18 3:00,4/9/18 2:59,Amelia Earhart Park,401 E 65th St.,,Hialeah,FL,33013,US,,,,,,Yes
Kentucky,Kentucky 2018,Tough Mudder Kentucky 2018,2018,6/2/18,6/2/18 3:00,6/4/18 2:59,Kentucky Speedway,1 Speedway Blvd.,,Sparta,KY,41086,US,Yes,Yes,Yes,Yes,,
Michigan,Michigan 2018,Tough Mudder Michigan 2018,2018,6/2/18,6/2/18 3:00,6/4/18 2:59,Koenig Sand & Gravel,1955 E Lakeville Rd.,,Oxford,MI,48371,US,Yes,Yes,Yes,Yes,,
Michigan,Michigan 2018,America's Toughest Mudder Midwest - Michigan 2018,2018,6/2/18,6/2/18 3:00,6/3/18 2:59,Koenig Sand & Gravel,1955 E Lakeville Rd.,,Oxford,MI,48371,US,,,,,Yes,
Tahoe,Tahoe 2018,Tough Mudder Tahoe 2018,2018,6/9/18,6/9/18 3:00,6/11/18 2:59,Northstar California Resort,5001 Northstar Drive,,Truckee,CA,96161,US,,,Yes,Yes,,
Virginia,Virginia 2018,Tough Mudder Virginia 2018,2018,6/9/18,6/9/18 3:00,6/11/18 2:59,Meadow Event Park,13048 Dawn Blvd.,,Doswell,VA,23047,US,,Yes,Yes,Yes,,
Virginia,Virginia 2018,Tough Mudder X World Championship - Virginia 2018,2018,6/8/18,6/8/18 3:00,6/9/18 2:59,Meadow Event Park,13048 Dawn Blvd.,,Doswell,VA,23047,US,,,,,,Yes
New England,Boston 2018,Tough Mudder Boston 2018,2018,6/23/18,6/23/18 3:00,6/25/18 2:59,508 International,219 Brookfield Rd.,,Charlton,MA,1507,US,Yes,Yes,Yes,Yes,,
New England,Boston 2018,America's Toughest Mudder East - Boston 2018,2018,6/23/18,6/23/18 3:00,6/24/18 2:59,508 International,219 Brookfield Rd.,,Charlton,MA,1507,US,,,,,Yes,
Colorado,Colorado 2018,Tough Mudder Colorado 2018,2018,8/25/18,8/25/18 3:00,8/27/18 2:59,Aspen Snowmass,60 Carriage Way,,Snowmass Village,CO,81615,US,,Yes,Yes,Yes,,
